Config: INCENTIVES_ON=True, BCFL=False, IPFS_ON=True, NUM_CLIENTS=2, NUM_ROUNDS=1,
time: 523.8836 seconds | Experiment
time: 0.2913 seconds | saving aggregated model to storage (round=6)
time: 0.2048 seconds | sending aggregated model to perun nodes round=6
time: 22.210900000000002 seconds | Round=7
time: 2.5091 seconds | Aggregating round=7
time: 0.2746 seconds | saving aggregated model to storage (round=7)
time: 0.2088 seconds | sending aggregated model to perun nodes round=7
time: 22.8169 seconds | Round=8
time: 2.5168000000000004 seconds | Aggregating round=8
time: 0.2814 seconds | saving aggregated model to storage (round=8)
time: 0.205 seconds | sending aggregated model to perun nodes round=8
time: 22.5865 seconds | Round=9
time: 2.6742 seconds | Aggregating round=9
time: 0.29690000000000005 seconds | saving aggregated model to storage (round=9)
time: 0.2045 seconds | sending aggregated model to perun nodes round=9
time: 22.4887 seconds | Round=10
time: 2.4972000000000003 seconds | Aggregating round=10
time: 0.2771 seconds | saving aggregated model to storage (round=10)
time: 0.2056 seconds | sending aggregated model to perun nodes round=10
time: 225.26043624590002 seconds | FL
time: 28.675 seconds | settling channels

Config: INCENTIVES_ON=True, BCFL=False, IPFS_ON=True, NUM_CLIENTS=5, NUM_ROUNDS=1,
time: 267.21900000000005 seconds | Experiment
time: 73.59689999999999 seconds | opening channels
time: 42.1652 seconds | Round=1
time: 0.7862 seconds | sharing model with perun nodes
time: 29.155399999999997 seconds | Training client=0
time: 28.9861 seconds | Training client=3
time: 29.1218 seconds | Training client=2
time: 29.070500000000003 seconds | Training client=4
time: 28.9964 seconds | Training client=1
time: 0.1609 seconds | sending updated weights to the perun node (client=1)
time: 0.1896 seconds | sending updated weights to the perun node (client=4)
time: 0.1321 seconds | sending updated weights to the perun node (client=3)
time: 0.173 seconds | sending updated weights to the perun node (client=0)
time: 0.23820000000000002 seconds | sending updated weights to the perun node (client=2)
time: 3.5368000000000004 seconds | Aggregating round=1
time: 0.1662 seconds | saving aggregated model to storage (round=1)
time: 0.7578000000000001 seconds | sending aggregated model to perun nodes round=1
time: 34.47867828749999 seconds | FL
time: 148.3929 seconds | settling channels

Config: INCENTIVES_ON=True, BCFL=False, IPFS_ON=True, NUM_CLIENTS=5, NUM_ROUNDS=5,
time: 483.7332 seconds | Experiment
time: 73.73740000000001 seconds | opening channels
time: 45.133500000000005 seconds | Round=1
time: 0.9592000000000003 seconds | sharing model with perun nodes
time: 29.234099999999998 seconds | Training client=3
time: 29.338819999999995 seconds | Training client=2
time: 29.5172 seconds | Training client=4
time: 29.37466 seconds | Training client=0
time: 29.400060000000003 seconds | Training client=1
time: 0.14032 seconds | sending updated weights to the perun node (client=3)
time: 0.23511999999999997 seconds | sending updated weights to the perun node (client=4)
time: 0.15396 seconds | sending updated weights to the perun node (client=1)
time: 0.17305999999999996 seconds | sending updated weights to the perun node (client=0)
time: 0.14598 seconds | sending updated weights to the perun node (client=2)
time: 3.6309000000000005 seconds | Aggregating round=1
time: 0.2434 seconds | saving aggregated model to storage (round=1)
time: 0.9531000000000001 seconds | sending aggregated model to perun nodes round=1
time: 33.4644 seconds | Round=2
time: 3.7123999999999997 seconds | Aggregating round=2
time: 0.2447 seconds | saving aggregated model to storage (round=2)
time: 0.9545 seconds | sending aggregated model to perun nodes round=2
time: 33.334199999999996 seconds | Round=3
time: 3.7162999999999995 seconds | Aggregating round=3
time: 0.25179999999999997 seconds | saving aggregated model to storage (round=3)
time: 0.9594999999999999 seconds | sending aggregated model to perun nodes round=3
time: 33.5381 seconds | Round=4
time: 3.6223 seconds | Aggregating round=4
time: 0.2399 seconds | saving aggregated model to storage (round=4)
time: 0.9577000000000002 seconds | sending aggregated model to perun nodes round=4
time: 33.65769999999999 seconds | Round=5
time: 3.7743 seconds | Aggregating round=5
time: 0.24300000000000002 seconds | saving aggregated model to storage (round=5)
time: 0.9579000000000001 seconds | sending aggregated model to perun nodes round=5
time: 169.4182208123 seconds | FL
time: 150.79770000000002 seconds | settling channels

Config: INCENTIVES_ON=True, BCFL=False, IPFS_ON=True, NUM_CLIENTS=5, NUM_ROUNDS=10,
time: 843.7068999999999 seconds | Experiment
time: 73.313 seconds | opening channels
time: 44.510400000000004 seconds | Round=1
time: 0.9555 seconds | sharing model with perun nodes
time: 29.11332 seconds | Training client=2
time: 29.298619999999996 seconds | Training client=3
time: 29.26802 seconds | Training client=0
time: 29.35251 seconds | Training client=1
time: 29.269789999999997 seconds | Training client=4
time: 0.18272000000000002 seconds | sending updated weights to the perun node (client=3)
time: 0.11367000000000001 seconds | sending updated weights to the perun node (client=2)
time: 0.11716000000000001 seconds | sending updated weights to the perun node (client=0)
time: 0.08222 seconds | sending updated weights to the perun node (client=4)
time: 0.20695999999999995 seconds | sending updated weights to the perun node (client=1)
time: 3.5228 seconds | Aggregating round=1
time: 0.2287 seconds | saving aggregated model to storage (round=1)
time: 0.9456 seconds | sending aggregated model to perun nodes round=1
time: 33.642900000000004 seconds | Round=2
time: 3.5645000000000002 seconds | Aggregating round=2
time: 0.22999999999999998 seconds | saving aggregated model to storage (round=2)
time: 0.9410999999999999 seconds | sending aggregated model to perun nodes round=2
time: 32.9685 seconds | Round=3
time: 3.4829999999999997 seconds | Aggregating round=3
time: 0.215 seconds | saving aggregated model to storage (round=3)
time: 0.9405999999999999 seconds | sending aggregated model to perun nodes round=3
time: 32.503699999999995 seconds | Round=4
time: 3.5178 seconds | Aggregating round=4
time: 0.2206 seconds | saving aggregated model to storage (round=4)
time: 0.9442 seconds | sending aggregated model to perun nodes round=4
time: 33.393800000000006 seconds | Round=5
time: 3.4957000000000003 seconds | Aggregating round=5
time: 0.21999999999999997 seconds | saving aggregated model to storage (round=5)
time: 0.9381 seconds | sending aggregated model to perun nodes round=5
time: 33.0938 seconds | Round=6
time: 3.5748000000000006 seconds | Aggregating round=6
time: 0.21149999999999997 seconds | saving aggregated model to storage (round=6)
time: 0.9337 seconds | sending aggregated model to perun nodes round=6
time: 32.8395 seconds | Round=7
time: 3.518900000000001 seconds | Aggregating round=7
time: 0.22160000000000002 seconds | saving aggregated model to storage (round=7)
time: 0.9495999999999999 seconds | sending aggregated model to perun nodes round=7
time: 32.7872 seconds | Round=8
time: 3.5334000000000003 seconds | Aggregating round=8
time: 0.2251 seconds | saving aggregated model to storage (round=8)
time: 0.943 seconds | sending aggregated model to perun nodes round=8
time: 33.7416 seconds | Round=9
time: 3.6453 seconds | Aggregating round=9
time: 0.23499999999999996 seconds | saving aggregated model to storage (round=9)
time: 0.9496 seconds | sending aggregated model to perun nodes round=9
time: 33.290800000000004 seconds | Round=10
time: 3.5019 seconds | Aggregating round=10
time: 0.2129 seconds | saving aggregated model to storage (round=10)
time: 0.9431 seconds | sending aggregated model to perun nodes round=10
time: 333.0732822209 seconds | FL
time: 74.74960000000002 seconds | settling channels

Config: INCENTIVES_ON=True, BCFL=False, IPFS_ON=True, NUM_CLIENTS=10, NUM_ROUNDS=1,
time: 525.3095 seconds | Experiment
time: 148.36599999999999 seconds | opening channels
time: 74.1774 seconds | Round=1
time: 1.7295000000000003 seconds | sharing model with perun nodes
time: 52.4678 seconds | Training client=1
time: 52.8951 seconds | Training client=7
time: 53.06239999999999 seconds | Training client=5
time: 52.7182 seconds | Training client=6
time: 52.9413 seconds | Training client=3
time: 52.7178 seconds | Training client=4
time: 52.889300000000006 seconds | Training client=0
time: 52.931 seconds | Training client=9
time: 52.9199 seconds | Training client=2
time: 52.91369999999999 seconds | Training client=8
time: 0.1162 seconds | sending updated weights to the perun node (client=2)
time: 0.1443 seconds | sending updated weights to the perun node (client=5)
time: 0.19119999999999998 seconds | sending updated weights to the perun node (client=7)
time: 0.09509999999999999 seconds | sending updated weights to the perun node (client=0)
time: 0.19149999999999998 seconds | sending updated weights to the perun node (client=9)
time: 0.1479 seconds | sending updated weights to the perun node (client=3)
time: 0.1758 seconds | sending updated weights to the perun node (client=1)
time: 0.1776 seconds | sending updated weights to the perun node (client=8)
time: 0.15389999999999998 seconds | sending updated weights to the perun node (client=4)
time: 0.1562 seconds | sending updated weights to the perun node (client=6)
time: 6.132299999999999 seconds | Aggregating round=1
time: 0.23289999999999997 seconds | saving aggregated model to storage (round=1)
time: 1.7302999999999997 seconds | sending aggregated model to perun nodes round=1
time: 64.55006097089999 seconds | FL
time: 299.162 seconds | settling channels

Config: INCENTIVES_ON=True, BCFL=False, IPFS_ON=True, NUM_CLIENTS=10, NUM_ROUNDS=5,
time: 8516.0588 seconds | Experiment
time: 148.46269999999998 seconds | opening channels
time: 71.66659999999999 seconds | Round=1
time: 1.4453999999999998 seconds | sharing model with perun nodes
time: 48.63426 seconds | Training client=0
time: 48.70694 seconds | Training client=7
time: 48.0291 seconds | Training client=8
time: 47.14567999999999 seconds | Training client=6
time: 47.42179999999999 seconds | Training client=9
time: 48.25548 seconds | Training client=2
time: 47.138059999999996 seconds | Training client=3
time: 48.11168 seconds | Training client=4
time: 47.80114 seconds | Training client=5
time: 47.965720000000005 seconds | Training client=1
time: 0.17587999999999998 seconds | sending updated weights to the perun node (client=6)
time: 0.14062 seconds | sending updated weights to the perun node (client=7)
time: 0.12532000000000001 seconds | sending updated weights to the perun node (client=5)
time: 0.21954 seconds | sending updated weights to the perun node (client=8)
time: 0.12252 seconds | sending updated weights to the perun node (client=1)
time: 0.16992000000000002 seconds | sending updated weights to the perun node (client=4)
time: 0.16768 seconds | sending updated weights to the perun node (client=2)
time: 0.18234000000000003 seconds | sending updated weights to the perun node (client=9)
time: 0.16760000000000003 seconds | sending updated weights to the perun node (client=3)
time: 0.14932 seconds | sending updated weights to the perun node (client=0)
time: 5.3998 seconds | Aggregating round=1
time: 0.1683 seconds | saving aggregated model to storage (round=1)
time: 1.4044 seconds | sending aggregated model to perun nodes round=1
time: 56.4851 seconds | Round=2
time: 5.6064 seconds | Aggregating round=2
time: 0.1785 seconds | saving aggregated model to storage (round=2)
time: 1.4056000000000002 seconds | sending aggregated model to perun nodes round=2
time: 53.959500000000006 seconds | Round=3
time: 5.601299999999999 seconds | Aggregating round=3
time: 0.1833 seconds | saving aggregated model to storage (round=3)
time: 1.4164999999999999 seconds | sending aggregated model to perun nodes round=3
time: 51.3745 seconds | Round=4
time: 5.353699999999999 seconds | Aggregating round=4
time: 0.1895 seconds | saving aggregated model to storage (round=4)
time: 1.4212 seconds | sending aggregated model to perun nodes round=4
time: 71.93539999999999 seconds | Round=5
time: 5.1904 seconds | Aggregating round=5
time: 0.18 seconds | saving aggregated model to storage (round=5)
time: 1.4259999999999997 seconds | sending aggregated model to perun nodes round=5
time: 270.21694768329996 seconds | FL
time: 318.2143 seconds | settling channels

Config: INCENTIVES_ON=True, BCFL=False, IPFS_ON=True, NUM_CLIENTS=10, NUM_ROUNDS=10,
time: 1306.1622 seconds | Experiment
time: 148.2099 seconds | opening channels
time: 85.77090000000001 seconds | Round=1
time: 2.0431 seconds | sharing model with perun nodes
time: 40.78319 seconds | Training client=8
time: 39.01813 seconds | Training client=9
time: 39.59626 seconds | Training client=2
time: 36.8616 seconds | Training client=0
time: 39.56747 seconds | Training client=5
time: 36.624069999999996 seconds | Training client=4
time: 38.98426 seconds | Training client=1
time: 39.69134 seconds | Training client=3
time: 38.00855 seconds | Training client=7
time: 36.978120000000004 seconds | Training client=6
time: 0.21846999999999997 seconds | sending updated weights to the perun node (client=7)
time: 0.15614 seconds | sending updated weights to the perun node (client=2)
time: 0.16552 seconds | sending updated weights to the perun node (client=3)
time: 0.14368000000000003 seconds | sending updated weights to the perun node (client=6)
time: 0.16780999999999996 seconds | sending updated weights to the perun node (client=8)
time: 0.18968000000000004 seconds | sending updated weights to the perun node (client=9)
time: 0.12268000000000001 seconds | sending updated weights to the perun node (client=1)
time: 0.14847 seconds | sending updated weights to the perun node (client=0)
time: 0.13299000000000002 seconds | sending updated weights to the perun node (client=4)
time: 0.24425999999999995 seconds | sending updated weights to the perun node (client=5)
time: 6.0396 seconds | Aggregating round=1
time: 0.22560000000000002 seconds | saving aggregated model to storage (round=1)
time: 2.0010999999999997 seconds | sending aggregated model to perun nodes round=1
time: 58.9277 seconds | Round=2
time: 6.222799999999999 seconds | Aggregating round=2
time: 0.23349999999999999 seconds | saving aggregated model to storage (round=2)
time: 1.9972999999999999 seconds | sending aggregated model to perun nodes round=2
time: 55.7718 seconds | Round=3
time: 6.1267000000000005 seconds | Aggregating round=3
time: 0.2428 seconds | saving aggregated model to storage (round=3)
time: 2.0028 seconds | sending aggregated model to perun nodes round=3
time: 65.8253 seconds | Round=4
time: 6.2436 seconds | Aggregating round=4
time: 0.2408 seconds | saving aggregated model to storage (round=4)
time: 1.9949999999999999 seconds | sending aggregated model to perun nodes round=4
time: 49.8368 seconds | Round=5
time: 6.1037 seconds | Aggregating round=5
time: 0.23009999999999997 seconds | saving aggregated model to storage (round=5)
time: 2.0017000000000005 seconds | sending aggregated model to perun nodes round=5
time: 44.402300000000004 seconds | Round=6
time: 5.807300000000001 seconds | Aggregating round=6
time: 0.2323 seconds | saving aggregated model to storage (round=6)
time: 1.9922 seconds | sending aggregated model to perun nodes round=6
time: 43.934799999999996 seconds | Round=7
time: 5.7097999999999995 seconds | Aggregating round=7
time: 0.23500000000000001 seconds | saving aggregated model to storage (round=7)
time: 1.9927999999999997 seconds | sending aggregated model to perun nodes round=7
time: 41.6079 seconds | Round=8
time: 5.6964 seconds | Aggregating round=8
time: 0.2313 seconds | saving aggregated model to storage (round=8)
time: 2.0026 seconds | sending aggregated model to perun nodes round=8
time: 41.3566 seconds | Round=9
time: 5.622 seconds | Aggregating round=9
time: 0.2306 seconds | saving aggregated model to storage (round=9)
time: 2.0034 seconds | sending aggregated model to perun nodes round=9
time: 41.477 seconds | Round=10
time: 5.6573 seconds | Aggregating round=10
time: 0.24009999999999998 seconds | saving aggregated model to storage (round=10)
time: 2.0065999999999997 seconds | sending aggregated model to perun nodes round=10
time: 502.09514775840006 seconds | FL
time: 149.94209999999998 seconds | settling channels

Config: INCENTIVES_ON=True, BCFL=False, IPFS_ON=True, NUM_CLIENTS=25, NUM_ROUNDS=1,
time: 1518.9148 seconds | Experiment
time: 373.5318 seconds | opening channels
time: 172.80249999999998 seconds | Round=1
time: 4.727500000000001 seconds | sharing model with perun nodes
time: 78.1961 seconds | Training client=1
time: 74.51140000000001 seconds | Training client=3
time: 75.7175 seconds | Training client=8
time: 72.4983 seconds | Training client=16
time: 73.51089999999999 seconds | Training client=14
time: 65.1053 seconds | Training client=15
time: 72.9789 seconds | Training client=22
time: 76.3401 seconds | Training client=6
time: 72.7107 seconds | Training client=21
time: 75.8772 seconds | Training client=20
time: 74.4175 seconds | Training client=18
time: 74.42159999999998 seconds | Training client=23
time: 71.28020000000001 seconds | Training client=11
time: 71.29750000000001 seconds | Training client=17
time: 0.1414 seconds | sending updated weights to the perun node (client=15)
time: 0.1459 seconds | sending updated weights to the perun node (client=14)
time: 71.04849999999999 seconds | Training client=5
time: 71.37379999999999 seconds | Training client=19
time: 0.2182 seconds | sending updated weights to the perun node (client=22)
time: 0.158 seconds | sending updated weights to the perun node (client=18)
time: 0.12060000000000001 seconds | sending updated weights to the perun node (client=17)
time: 0.22920000000000001 seconds | sending updated weights to the perun node (client=20)
time: 69.18809999999999 seconds | Training client=2
time: 69.1873 seconds | Training client=12
time: 72.9285 seconds | Training client=0
time: 0.12440000000000002 seconds | sending updated weights to the perun node (client=8)
time: 73.9748 seconds | Training client=9
time: 67.3983 seconds | Training client=10
time: 0.14789999999999998 seconds | sending updated weights to the perun node (client=23)
time: 0.1461 seconds | sending updated weights to the perun node (client=21)
time: 65.7519 seconds | Training client=24
time: 0.15889999999999999 seconds | sending updated weights to the perun node (client=6)
time: 67.0803 seconds | Training client=4
time: 0.188 seconds | sending updated weights to the perun node (client=16)
time: 0.14709999999999998 seconds | sending updated weights to the perun node (client=3)
time: 0.19619999999999999 seconds | sending updated weights to the perun node (client=11)
time: 71.0844 seconds | Training client=7
time: 71.1228 seconds | Training client=13
time: 0.17060000000000003 seconds | sending updated weights to the perun node (client=1)
time: 0.1429 seconds | sending updated weights to the perun node (client=4)
time: 0.1615 seconds | sending updated weights to the perun node (client=0)
time: 0.1352 seconds | sending updated weights to the perun node (client=7)
time: 0.1692 seconds | sending updated weights to the perun node (client=10)
time: 0.1436 seconds | sending updated weights to the perun node (client=24)
time: 0.1931 seconds | sending updated weights to the perun node (client=12)
time: 0.1617 seconds | sending updated weights to the perun node (client=19)
time: 0.1839 seconds | sending updated weights to the perun node (client=5)
time: 0.14030000000000004 seconds | sending updated weights to the perun node (client=9)
time: 0.1262 seconds | sending updated weights to the perun node (client=13)
time: 0.16099999999999998 seconds | sending updated weights to the perun node (client=2)
time: 14.348099999999999 seconds | Aggregating round=1
time: 0.1975 seconds | saving aggregated model to storage (round=1)
time: 4.6847 seconds | sending aggregated model to perun nodes round=1
time: 160.26911528750003 seconds | FL
time: 763.5991999999999 seconds | settling channels

Config: INCENTIVES_ON=True, BCFL=False, IPFS_ON=True, NUM_CLIENTS=25, NUM_ROUNDS=5,
time: 5671.580400000001 seconds | Experiment
time: 373.30089999999996 seconds | opening channels
time: 204.61409999999998 seconds | Round=1
time: 6.0272 seconds | sharing model with perun nodes
time: 77.64296 seconds | Training client=21
time: 58.29811999999999 seconds | Training client=22
time: 65.08033999999999 seconds | Training client=2
time: 67.25834 seconds | Training client=14
time: 57.37732 seconds | Training client=12
time: 51.942040000000006 seconds | Training client=7
time: 75.25583999999999 seconds | Training client=4
time: 74.05672 seconds | Training client=6
time: 67.84048 seconds | Training client=20
time: 70.02266 seconds | Training client=10
time: 60.56158000000001 seconds | Training client=15
time: 68.5029 seconds | Training client=13
time: 76.11186 seconds | Training client=5
time: 69.12486 seconds | Training client=11
time: 0.13424000000000003 seconds | sending updated weights to the perun node (client=13)
time: 0.18428 seconds | sending updated weights to the perun node (client=20)
time: 59.75882000000001 seconds | Training client=9
time: 73.87364 seconds | Training client=0
time: 0.17243999999999995 seconds | sending updated weights to the perun node (client=11)
time: 0.12584 seconds | sending updated weights to the perun node (client=4)
time: 71.34744 seconds | Training client=24
time: 0.10459999999999998 seconds | sending updated weights to the perun node (client=12)
time: 0.21354000000000004 seconds | sending updated weights to the perun node (client=22)
time: 65.04332 seconds | Training client=16
time: 68.16964000000002 seconds | Training client=23
time: 0.1588 seconds | sending updated weights to the perun node (client=10)
time: 0.16014 seconds | sending updated weights to the perun node (client=6)
time: 0.16605999999999999 seconds | sending updated weights to the perun node (client=2)
time: 60.77012 seconds | Training client=17
time: 65.63342 seconds | Training client=3
time: 0.20608 seconds | sending updated weights to the perun node (client=14)
time: 0.1255 seconds | sending updated weights to the perun node (client=21)
time: 64.3054 seconds | Training client=18
time: 54.01921999999999 seconds | Training client=8
time: 0.1542 seconds | sending updated weights to the perun node (client=7)
time: 68.12438 seconds | Training client=19
time: 73.72874 seconds | Training client=1
time: 0.15272 seconds | sending updated weights to the perun node (client=15)
time: 0.15331999999999998 seconds | sending updated weights to the perun node (client=5)
time: 0.20152 seconds | sending updated weights to the perun node (client=16)
time: 0.19278000000000003 seconds | sending updated weights to the perun node (client=0)
time: 0.13966 seconds | sending updated weights to the perun node (client=24)
time: 0.10822000000000001 seconds | sending updated weights to the perun node (client=8)
time: 0.12576 seconds | sending updated weights to the perun node (client=23)
time: 0.21806 seconds | sending updated weights to the perun node (client=18)
time: 0.19140000000000001 seconds | sending updated weights to the perun node (client=3)
time: 0.21123999999999998 seconds | sending updated weights to the perun node (client=9)
time: 0.19174 seconds | sending updated weights to the perun node (client=19)
time: 0.12368000000000003 seconds | sending updated weights to the perun node (client=1)
time: 0.17474 seconds | sending updated weights to the perun node (client=17)
time: 25.797700000000003 seconds | Aggregating round=1
time: 0.2636 seconds | saving aggregated model to storage (round=1)
time: 15.651399999999999 seconds | sending aggregated model to perun nodes round=1
time: 186.031 seconds | Round=2
time: 16.288 seconds | Aggregating round=2
time: 0.26220000000000004 seconds | saving aggregated model to storage (round=2)
time: 5.8777 seconds | sending aggregated model to perun nodes round=2
time: 157.0669 seconds | Round=3
time: 15.3342 seconds | Aggregating round=3
time: 0.26149999999999995 seconds | saving aggregated model to storage (round=3)
time: 5.855399999999999 seconds | sending aggregated model to perun nodes round=3
time: 134.4438 seconds | Round=4
time: 15.5059 seconds | Aggregating round=4
time: 0.26539999999999997 seconds | saving aggregated model to storage (round=4)
time: 5.841700000000001 seconds | sending aggregated model to perun nodes round=4
time: 122.83300000000001 seconds | Round=5
time: 15.1251 seconds | Aggregating round=5
time: 0.2517 seconds | saving aggregated model to storage (round=5)
time: 5.874 seconds | sending aggregated model to perun nodes round=5
time: 733.8274090250001 seconds | FL
time: 814.3880000000001 seconds | settling channels

Config: INCENTIVES_ON=True, BCFL=False, IPFS_ON=True, NUM_CLIENTS=25, NUM_ROUNDS=10,
time: 2153.9322 seconds | Experiment
time: 372.82329999999996 seconds | opening channels
time: 227.69629999999998 seconds | Round=1
time: 4.3039000000000005 seconds | sharing model with perun nodes
time: 56.55874 seconds | Training client=18
time: 59.88012 seconds | Training client=24
time: 54.07573 seconds | Training client=20
time: 61.892570000000006 seconds | Training client=8
time: 52.647749999999995 seconds | Training client=19
time: 55.716040000000014 seconds | Training client=4
time: 46.446279999999994 seconds | Training client=1
time: 54.5703 seconds | Training client=23
time: 57.78569 seconds | Training client=6
time: 55.649890000000006 seconds | Training client=21
time: 60.014590000000005 seconds | Training client=9
time: 59.985699999999994 seconds | Training client=10
time: 52.69830000000001 seconds | Training client=7
time: 55.98675 seconds | Training client=15
time: 0.2133 seconds | sending updated weights to the perun node (client=6)
time: 0.15367999999999998 seconds | sending updated weights to the perun node (client=9)
time: 62.8656 seconds | Training client=12
time: 56.263189999999994 seconds | Training client=13
time: 0.17888 seconds | sending updated weights to the perun node (client=7)
time: 0.22232 seconds | sending updated weights to the perun node (client=1)
time: 0.1219 seconds | sending updated weights to the perun node (client=19)
time: 50.688590000000005 seconds | Training client=11
time: 55.994409999999995 seconds | Training client=22
time: 0.21709000000000003 seconds | sending updated weights to the perun node (client=23)
time: 59.484449999999995 seconds | Training client=14
time: 0.17503 seconds | sending updated weights to the perun node (client=15)
time: 0.19596999999999998 seconds | sending updated weights to the perun node (client=10)
time: 0.23862999999999995 seconds | sending updated weights to the perun node (client=21)
time: 54.725420000000014 seconds | Training client=16
time: 58.26660999999999 seconds | Training client=3
time: 58.44063 seconds | Training client=5
time: 0.15895 seconds | sending updated weights to the perun node (client=8)
time: 0.17249999999999996 seconds | sending updated weights to the perun node (client=4)
time: 58.0849 seconds | Training client=0
time: 0.15208 seconds | sending updated weights to the perun node (client=20)
time: 58.63538 seconds | Training client=17
time: 52.43927000000001 seconds | Training client=2
time: 0.22557999999999997 seconds | sending updated weights to the perun node (client=24)
time: 0.19336000000000003 seconds | sending updated weights to the perun node (client=18)
time: 0.1296 seconds | sending updated weights to the perun node (client=12)
time: 0.14742 seconds | sending updated weights to the perun node (client=5)
time: 0.14408000000000004 seconds | sending updated weights to the perun node (client=13)
time: 0.16103 seconds | sending updated weights to the perun node (client=11)
time: 0.20922999999999997 seconds | sending updated weights to the perun node (client=0)
time: 0.12250000000000001 seconds | sending updated weights to the perun node (client=2)
time: 0.1512 seconds | sending updated weights to the perun node (client=22)
time: 0.13532 seconds | sending updated weights to the perun node (client=14)
time: 0.17522 seconds | sending updated weights to the perun node (client=16)
time: 0.16599 seconds | sending updated weights to the perun node (client=3)
time: 0.17543999999999996 seconds | sending updated weights to the perun node (client=17)
time: 14.0842 seconds | Aggregating round=1
time: 0.2069 seconds | saving aggregated model to storage (round=1)
time: 4.106199999999999 seconds | sending aggregated model to perun nodes round=1
time: 153.8042 seconds | Round=2
time: 13.932899999999998 seconds | Aggregating round=2
time: 0.21600000000000003 seconds | saving aggregated model to storage (round=2)
time: 4.0885 seconds | sending aggregated model to perun nodes round=2
time: 139.52200000000002 seconds | Round=3
time: 14.141 seconds | Aggregating round=3
time: 0.2212 seconds | saving aggregated model to storage (round=3)
