FL-experiment | INFO flwr 2024-03-11 21:38:20,543 | main.py:40 | Config: INCENTIVES_ON=False, BCFL=True, IPFS_ON=True, NUM_CLIENTS=2, NUM_ROUNDS=2,
FL-experiment | DEBUG flwr 2024-03-11 21:39:33,172 | server.py:80 | File: storage/init_model_5365b2dd-dc8c-4936-935f-7aa0318b937c.pkl IPFS file hash: QmT17MC7CfPfFb5Nxoja6Q8XwhPFdgSFgHVs1nK7RT2gQF
FL-experiment | DEBUG flwr 2024-03-11 21:39:34,293 | server.py:80 | File: storage/init_model_5365b2dd-dc8c-4936-935f-7aa0318b937c.pkl IPFS file hash: QmT17MC7CfPfFb5Nxoja6Q8XwhPFdgSFgHVs1nK7RT2gQF
FL-experiment | INFO flwr 2024-03-11 21:39:39,287 | server.py:83 | Done setting weights to the blockchain
FL-experiment | INFO flwr 2024-03-11 21:39:39,290 | server.py:90 | Start saving aggregated model to storage (round=2)
FL-experiment | DEBUG flwr 2024-03-11 21:39:39,328 | server.py:99 | File: storage/aggregated_model_26400b28-721c-4068-9e7c-000a5f293116.pkl IPFS file hash: QmcFPt2SFtDvcxpNwuWLzwBpsBJvD1Bw2TzPLU3QdZ7Rhm
FL-experiment | INFO flwr 2024-03-11 21:39:39,328 | server.py:102 | Done saving aggregated model to storage (round=2)
FL-experiment | DEBUG flwr 2024-03-11 21:39:39,328 | server.py:173 | evaluate_round 2: strategy sampled 2 clients (out of 2)
FL-experiment | DEBUG flwr 2024-03-11 21:39:41,108 | server.py:187 | evaluate_round 2 received 2 results and 0 failures
FL-experiment | INFO flwr 2024-03-11 21:39:41,108 | server.py:109 | Start evaluating fit round=2
FL-experiment | INFO flwr 2024-03-11 21:39:41,108 | server.py:111 | Done Evaluating fit round=2
FL-experiment | DEBUG flwr 2024-03-11 21:39:41,108 | server.py:112 | Round: 2, Aggregated accuracy: {'accuracy': 0.341}, Aggregated loss: 566.9190063476562, IPFS hash: QmcFPt2SFtDvcxpNwuWLzwBpsBJvD1Bw2TzPLU3QdZ7Rhm
FL-experiment | INFO flwr 2024-03-11 21:39:41,108 | server.py:128 | Start setting aggregated model to the blockchain round=2
FL-experiment | INFO flwr 2024-03-11 21:39:49,267 | server.py:131 | Done setting aggregated model to the blockchain round=2
FL-experiment | INFO flwr 2024-03-11 21:39:49,267 | server.py:133 | Done Aggregating round=2
FL-experiment | INFO flwr 2024-03-11 21:39:49,267 | server.py:134 | Done Round=2
FL-experiment | INFO flwr 2024-03-11 21:39:49,267 | server.py:153 | FL finished in 72.68317329199999
FL-experiment | INFO flwr 2024-03-11 21:39:49,267 | app.py:226 | app_fit: losses_distributed [(1, 691.2006530761719), (2, 566.9190063476562)]
FL-experiment | INFO flwr 2024-03-11 21:39:49,267 | app.py:227 | app_fit: metrics_distributed_fit {}
FL-experiment | INFO flwr 2024-03-11 21:39:49,267 | app.py:228 | app_fit: metrics_distributed {'accuracy': [(1, 0.201), (2, 0.341)]}
FL-experiment | INFO flwr 2024-03-11 21:39:49,267 | app.py:229 | app_fit: losses_centralized []
FL-experiment | INFO flwr 2024-03-11 21:39:49,267 | app.py:230 | app_fit: metrics_centralized {}
FL-experiment | DEBUG flwr 2024-03-11 21:39:49,270 | connection.py:141 | gRPC channel closed
FL-experiment | DEBUG flwr 2024-03-11 21:39:49,270 | connection.py:141 | gRPC channel closed
FL-experiment | INFO flwr 2024-03-11 21:39:49,270 | app.py:304 | Disconnect and shut down
FL-experiment | INFO flwr 2024-03-11 21:39:49,270 | app.py:304 | Disconnect and shut down
FL-experiment | INFO flwr 2024-03-11 21:39:49,744 | main.py:61 | Done Experiment
