FL-experiment | INFO flwr 2024-03-04 13:24:16,379 | main.py:37 | Config: INCENTIVES_ON=False, IPFS_ON=False, NUM_CLIENTS=5, NUM_ROUNDS=3
FL-experiment | INFO flwr 2024-03-04 13:24:55,737 | client.py:126 | Start Training client=4
FL-experiment | INFO flwr 2024-03-04 13:24:55,737 | client.py:126 | Start Training client=1
FL-experiment | INFO flwr 2024-03-04 13:25:22,227 | client.py:139 | Start sending updated weights to the perun node (client=2)
FL-experiment | INFO flwr 2024-03-04 13:25:22,227 | client.py:147 | Done Training client=2
FL-experiment | INFO flwr 2024-03-04 13:25:23,412 | client.py:139 | Start sending updated weights to the perun node (client=0)
FL-experiment | INFO flwr 2024-03-04 13:25:23,412 | client.py:147 | Done Training client=0
FL-experiment | INFO flwr 2024-03-04 13:25:23,470 | client.py:139 | Start sending updated weights to the perun node (client=4)
FL-experiment | INFO flwr 2024-03-04 13:25:23,471 | client.py:147 | Done Training client=4
FL-experiment | INFO flwr 2024-03-04 13:25:23,532 | client.py:139 | Start sending updated weights to the perun node (client=1)
FL-experiment | INFO flwr 2024-03-04 13:25:23,532 | client.py:147 | Done Training client=1
FL-experiment | INFO flwr 2024-03-04 13:25:23,640 | client.py:139 | Start sending updated weights to the perun node (client=3)
FL-experiment | INFO flwr 2024-03-04 13:25:23,640 | client.py:147 | Done Training client=3
FL-experiment | DEBUG flwr 2024-03-04 13:25:23,642 | server.py:236 | fit_round 2 received 5 results and 0 failures
FL-experiment | INFO flwr 2024-03-04 13:25:23,642 | server.py:52 | Start Aggregating round=2
FL-experiment | DEBUG flwr 2024-03-04 13:25:23,646 | server.py:173 | evaluate_round 2: strategy sampled 5 clients (out of 5)
FL-experiment | DEBUG flwr 2024-03-04 13:25:25,649 | server.py:187 | evaluate_round 2 received 5 results and 0 failures
FL-experiment | INFO flwr 2024-03-04 13:25:25,649 | server.py:77 | Start evaluating fit round=2
FL-experiment | INFO flwr 2024-03-04 13:25:25,649 | server.py:79 | Done Evaluating fit round=2
FL-experiment | DEBUG flwr 2024-03-04 13:25:25,649 | server.py:80 | Round: 2, Aggregated accuracy: {'accuracy': 0.34954}, Aggregated loss: 564.08916015625, IPFS hash: storage/aggregated_model_cd4ff53f-9c3a-4383-9504-d24a47a6058c.pkl
FL-experiment | INFO flwr 2024-03-04 13:25:25,649 | server.py:95 | Done Aggregating round=2
FL-experiment | INFO flwr 2024-03-04 13:25:25,649 | server.py:96 | Done Round=2
FL-experiment | INFO flwr 2024-03-04 13:25:25,649 | server.py:98 | Start Round=3
FL-experiment | DEBUG flwr 2024-03-04 13:25:25,649 | server.py:222 | fit_round 3: strategy sampled 5 clients (out of 5)
FL-experiment | INFO flwr 2024-03-04 13:25:25,651 | client.py:126 | Start Training client=1
FL-experiment | INFO flwr 2024-03-04 13:25:25,651 | client.py:126 | Start Training client=4
FL-experiment | INFO flwr 2024-03-04 13:25:25,652 | client.py:126 | Start Training client=3
FL-experiment | INFO flwr 2024-03-04 13:25:25,652 | client.py:126 | Start Training client=2
FL-experiment | INFO flwr 2024-03-04 13:25:25,652 | client.py:126 | Start Training client=0
FL-experiment | INFO flwr 2024-03-04 13:25:52,537 | client.py:139 | Start sending updated weights to the perun node (client=2)
FL-experiment | INFO flwr 2024-03-04 13:25:52,537 | client.py:147 | Done Training client=2
FL-experiment | INFO flwr 2024-03-04 13:25:53,202 | client.py:139 | Start sending updated weights to the perun node (client=4)
FL-experiment | INFO flwr 2024-03-04 13:25:53,202 | client.py:147 | Done Training client=4
FL-experiment | INFO flwr 2024-03-04 13:25:53,434 | client.py:139 | Start sending updated weights to the perun node (client=0)
FL-experiment | INFO flwr 2024-03-04 13:25:53,435 | client.py:147 | Done Training client=0
FL-experiment | INFO flwr 2024-03-04 13:25:53,522 | client.py:139 | Start sending updated weights to the perun node (client=3)
FL-experiment | INFO flwr 2024-03-04 13:25:53,522 | client.py:147 | Done Training client=3
FL-experiment | INFO flwr 2024-03-04 13:25:53,778 | client.py:139 | Start sending updated weights to the perun node (client=1)
FL-experiment | INFO flwr 2024-03-04 13:25:53,778 | client.py:147 | Done Training client=1
FL-experiment | DEBUG flwr 2024-03-04 13:25:53,779 | server.py:236 | fit_round 3 received 5 results and 0 failures
FL-experiment | INFO flwr 2024-03-04 13:25:53,779 | server.py:52 | Start Aggregating round=3
FL-experiment | DEBUG flwr 2024-03-04 13:25:53,784 | server.py:173 | evaluate_round 3: strategy sampled 5 clients (out of 5)
FL-experiment | DEBUG flwr 2024-03-04 13:25:55,792 | server.py:187 | evaluate_round 3 received 5 results and 0 failures
FL-experiment | INFO flwr 2024-03-04 13:25:55,792 | server.py:77 | Start evaluating fit round=3
FL-experiment | INFO flwr 2024-03-04 13:25:55,792 | server.py:79 | Done Evaluating fit round=3
FL-experiment | DEBUG flwr 2024-03-04 13:25:55,792 | server.py:80 | Round: 3, Aggregated accuracy: {'accuracy': 0.42726}, Aggregated loss: 493.42022705078125, IPFS hash: storage/aggregated_model_2ada77dc-846a-4fd3-942f-f752e7ea29c6.pkl
FL-experiment | INFO flwr 2024-03-04 13:25:55,792 | server.py:95 | Done Aggregating round=3
FL-experiment | INFO flwr 2024-03-04 13:25:55,792 | server.py:96 | Done Round=3
FL-experiment | INFO flwr 2024-03-04 13:25:55,792 | server.py:153 | FL finished in 90.61029662499999
FL-experiment | INFO flwr 2024-03-04 13:25:55,793 | app.py:226 | app_fit: losses_distributed [(1, 658.8229370117188), (2, 564.08916015625), (3, 493.42022705078125)]
FL-experiment | INFO flwr 2024-03-04 13:25:55,793 | app.py:227 | app_fit: metrics_distributed_fit {}
FL-experiment | INFO flwr 2024-03-04 13:25:55,793 | app.py:228 | app_fit: metrics_distributed {'accuracy': [(1, 0.23154), (2, 0.34954), (3, 0.42726)]}
FL-experiment | INFO flwr 2024-03-04 13:25:55,793 | app.py:229 | app_fit: losses_centralized []
FL-experiment | INFO flwr 2024-03-04 13:25:55,793 | app.py:230 | app_fit: metrics_centralized {}
FL-experiment | DEBUG flwr 2024-03-04 13:25:55,796 | connection.py:141 | gRPC channel closed
FL-experiment | DEBUG flwr 2024-03-04 13:25:55,796 | connection.py:141 | gRPC channel closed
FL-experiment | DEBUG flwr 2024-03-04 13:25:55,796 | connection.py:141 | gRPC channel closed
FL-experiment | DEBUG flwr 2024-03-04 13:25:55,796 | connection.py:141 | gRPC channel closed
FL-experiment | DEBUG flwr 2024-03-04 13:25:55,796 | connection.py:141 | gRPC channel closed
FL-experiment | INFO flwr 2024-03-04 13:25:55,796 | app.py:304 | Disconnect and shut down
FL-experiment | INFO flwr 2024-03-04 13:25:55,796 | app.py:304 | Disconnect and shut down
FL-experiment | INFO flwr 2024-03-04 13:25:55,796 | app.py:304 | Disconnect and shut down
FL-experiment | INFO flwr 2024-03-04 13:25:55,796 | app.py:304 | Disconnect and shut down
FL-experiment | INFO flwr 2024-03-04 13:25:55,796 | app.py:304 | Disconnect and shut down
FL-experiment | INFO flwr 2024-03-04 13:25:56,362 | main.py:54 | Done Experiment
